group_id,pipes,root_pass_butt_process,filler_pass_butt_process,fillet_socket_process,welding_material_root_pass_butt,welding_material_filler_pass_butt,welding_material_root_pass_other,welding_material_filler_pass_other,welding_material_fillet_socket,preheat_base,preheat_thk,preheat_above,interpass,pwht_thk,pwht_temp,pwht_minhold,hardness,code,notes
A1A,"ASTM A106 GR.B, ASTM A672 GR.B60 CL.12, ASTM A672 GR.B60 CL.22, ASTM A672 GR.B60 CL.32",GTAW/SMAW (Note-1),GTAW/SMAW,SMAW,ER70S-2/E6010,ER70S-2/E7016/E7018,ER70S-2/E6010,ER70S-2/E7016/E7018,E7016/E7018,10,25.4,100,,,,,,ASME B31.3,"1. Root pass for single side welding shall be done by GTAW process. 2. For piping sizes 2"" OD and below shall be entirely welded by GTAW process. 3. Preheat temperature of atleast 50°C shall be provided for the first two passes for THK>=12.5mm & <=25mm."
A2A,"ASTM A106 GR.B, ASTM A672 GR.B60 CL.12",GTAW/SMAW (Note-1),GTAW/SMAW (Note-2),SMAW,ER70S-2/E6010,ER70S-2/E7016/E7018,ER70S-2/E6010,ER70S-2/E7016/E7018,E7016/E7018,10,25.4,100,,20,595-620°C,1 HR,200 BHN MAX,ASME B31.3 & IBR,"1. Root pass single side welding by GTAW. 2. For piping sizes 2"" OD & below entirely welded by GTAW. 3. Preheat >=50°C first two passes 12.5-25mm. 4. PWHT per IBR for wall thickness exceeding 20mm; hardness measured after PWHT. For A22A, B22A, D22A, E22A piping class weld joint, PWHT shall be carried out irrespective of thickness."
A3A,"ASTM A106 GR.B, API 5L GR.B PSL1, ASTM A672 GR.B60 CL.12, IS-1239, IS-3589 GR.410, ASTM A53 GR.B TYPE S",SMAW,SMAW,SMAW,E6010,E6013/E7016/E7018,E6010,E6013/E7016/E7018,E6013/E7016/E7018,10,25.4,100,,,,,-,ASME B31.3,"1. Preheat >=50°C first two passes for THK>=12.5mm & <=25mm. 2. Threaded joints for J2A piping class shall be made with 1"" PTFE joining tape. This welding chart is applicable only for seal welding, if any, for A92A piping class."
A4A,"ASTM A333 GR.6, ASTM A671 GR.CC60 CL.32",GTAW,GTAW/SMAW (Note-2),SMAW,ER80S-Ni1 (Note-1),ER80S-Ni1/E7016-1/E7018-1 (Note-1),ER80S-Ni1 (Note-1),ER80S-Ni1/E7016-1/E7018-1 (Note-1),E7016-1/E7018-1 (Note-1),10,25.4,100,315°C MAX,,,,200 BHN MAX,ASME B31.3,"1. All batches of filler wires/electrodes shall be impact tested at -45°C as per latest edition of ASME BPV Section II Part C at site. 2. For piping sizes 2"" OD & below entirely welded by GTAW. 3. Preheat >=50°C first two passes 12.5-25mm."
B45A,"ASTM A333 GR.6, ASTM A671 GR.CC60 CL.32",GTAW,GTAW/SMAW (Note-2),SMAW,ER80S-Ni1 (Note-1),ER80S-Ni1/E7016-1/E7018-1 (Note-1),ER80S-Ni1 (Note-1),ER80S-Ni1/E7016-1/E7018-1 (Note-1),E7016-1/E7018-1 (Note-1),10,25.4,100,315°C MAX,,595-620°C,ASME B31.3,200 BHN MAX,ASME B31.3,"1. All batches of filler wires/electrodes impact tested at -45°C per ASME BPV Sec II Part C at site. 2. For piping 2"" OD & below entirely GTAW. 3. Preheat >=50°C first two passes 12.5-25mm. 4. PWHT shall be carried out for all weld joints including attachment welds irrespective of thickness."
A5A,"ASTM A106 GR.B, ASTM A672 GR.B60 CL.32",GTAW,GTAW/SMAW (Note-1),SMAW,ER70S-2,ER70S-2/E7016/E7018,ER70S-2,ER70S-2/E7016/E7018,E7016/E7018,10,25,100,,20,595-620°C,ASME B31.3,200 BHN MAX,ASME B31.3,"1. Welded by GTAW process. 2. Preheat >=50°C first two passes 12.5-<25mm. 3. Groove welds PWHT for pipe wall thk >20mm; if design temp >204°C, thickness <20mm also PWHT. For B58A, A59A, B59A, D59A, E59A: PWHT for ALL pipe wall thicknesses; attachments stress relieved & meet hardness limit. For lines with design temp >204°C, PWHT required for all weld joints irrespective of thickness. 4. Hardness of weldment shall not exceed 200 BHN."
A11A,"ASTM A106 GR.B, ASTM A672 GR.B60 CL.12",GTAW/SMAW (Note-1),SMAW/GTAW (Note-2),SMAW,ER70S-2/E6010,E7016/E7018/ER70S-2,E6010/ER70S-2,E7016/E7018/ER70S-2,E7016/E7018,10,25,100,,,,,200 BHN MAX,ASME B31.3,1. Root pass single side welding by GTAW. 2. Welded by GTAW process. 3. Preheat >=50°C first two passes 12.5-<25mm. 4. Hardness in the weldment shall not exceed 200 BHN.
A14A,"ASTM A106 GR.B, ASTM A672 GR.B60 CL.22, ASTM A672 GR.C60 CL.32, ASTM A672 GR.C60 CL.42",GTAW,GTAW/SMAW (Note-1),SMAW,ER70S-2 (Note-2),ER70S-2/E7016/E7018 (Note-2),ER70S-2 (Note-2),ER70S-2/E7016/E7018 (Note-2),E7016/E7018 (Note-2),10,25,100,,,595-620°C,1 HR,200 BHN MAX,ASME B31.3,"1. For piping sizes 2"" OD & below entirely welded by GTAW. 2. All batches of welding filler materials shall be qualified for NACE (MR0103/TM0177 & TM0284) service. 3. Preheat >=50°C first two passes 12.5-<25mm. 4. PWHT for ALL pipe wall thickness; post heat treated hardness of weld and HAZ shall not exceed 200 BHN. Attachments need not be stress relieved provided cross-sectional hardness controlled <200 BHN, established by procedure qualification on fillet weld."
A55A,"ASTM A106 GR.B, ASTM A672 GR.B60 CL.32",GTAW,GTAW/SMAW (Note-1),SMAW,ER70S-2 (Note-2),ER70S-2/E7016/E7018 (Note-2),ER70S-2 (Note-2),ER70S-2/E7016/E7018 (Note-2),E7016/E7018 (Note-2),10,25,100,,,595-620°C,1 HR,200 BHN MAX,ASME B31.3,"1. Welded by GTAW process. 2. All batches of welding filler materials shall be qualified for NACE (TM0177 & TM0284) service. 3. Preheat >=50°C first two passes 12.5-<25mm. 4. PWHT for ALL pipe wall thickness; hardness of weld shall not exceed 200 BHN. Attachments need not be stress relieved provided cross-sectional hardness <200 BHN, established by procedure qualification on fillet weld."
A46A,"ASTM A333 GR.6, ASTM A671 GR.CC60 CL.32",GTAW,GTAW/SMAW (Note-1),SMAW,ER80S-Ni1 (Note-2),"ER80S-Ni1/E7016-1/E7018-1 (Note-2,3)","ER80S-Ni1 (Note-2,3)","ER80S-Ni1/E7016-1/E7018-1 (Note-2,3)",E7016-1/E7018-1 (Note-2),10,25,100,315°C MAX,,595-620°C,1 HR,200 BHN MAX,ASME B31.3,"1. For piping 2"" OD & below entirely welded by GTAW. 2. All batches of welding filler materials shall be qualified for NACE (MR0103/TM0177 & TM0284) service. 3. Nickel content in ER80S-Ni1 shall not exceed 1 wt.%; PQR shall confirm nickel content <1 wt.%. Filler wires/electrodes impact tested at -45°C per ASME BPV Sec II Part C. 4. Preheat >=50°C first two passes 12.5-<25mm. 5. PWHT for ALL pipe wall thickness; hardness of weld shall not exceed 200 BHN. Attachments need not be stress relieved provided cross-sectional hardness <200 BHN, established by procedure qualification on fillet weld."
