PMS,CLASS,TYPE,FACING,DIA(LOW),DIA(HIGH),RATING,DESIGN_STANDARD,MATERIAL_DESCRIPTION
EIL,A4A,SEAMLESS,PE,0.5,0.75,S160,B-36.10,ASTM A333 GR.6
EIL,A4A,SEAMLESS,PE,1,1.5,XS,B-36.10,ASTM A333 GR.6
EIL,A4A,SEAMLESS,BE,2,2,XS,B-36.10,ASTM A333 GR.6
EIL,A4A,SEAMLESS,BE,3,14,STD,B-36.10,ASTM A333 GR.6
EIL,A4A,EFSW,BE,16,24,STD,B-36.10,ASTM A671 GR.CC60 CL.32
EIL,A4A,EFSW,BE,26,36,STD,B-36.10,ASTM A671 GR.CC60 CL.32
EIL,A5A,SEAMLESS,PE,0.5,0.75,S160,B-36.10,ASTM A106 GR.B
EIL,A5A,SEAMLESS,PE,1,1.5,XS,B-36.10,ASTM A106 GR.B
EIL,A5A,SEAMLESS,BE,2,2,XS,B-36.10,ASTM A106 GR.B
EIL,A5A,SEAMLESS,BE,3,14,STD,B-36.10,ASTM A106 GR.B
EIL,A5A,EFSW,BE,16,16,XS,B-36.10,ASTM A672 GR.B60 CL.32
EIL,A5A,EFSW,BE,18,24,STD,B-36.10,ASTM A672 GR.B60 CL.32
EIL,A5A,EFSW,BE,30,30,STD,B-36.10,ASTM A672 GR.B60 CL.32
EIL,A5A,EFSW,BE,34,34,STD,B-36.10,ASTM A672 GR.B60 CL.32
EIL,A7A,SEAMLESS,PE,0.5,0.75,S160,B-36.10,ASTM A106 GR.B
EIL,A7A,SEAMLESS,PE,1,1.5,XS,B-36.10,ASTM A106 GR.B
EIL,A7A,SEAMLESS,BE,2,2,XS,B-36.10,ASTM A106 GR.B
EIL,A7A,SEAMLESS,BE,3,14,STD,B-36.10,ASTM A106 GR.B
EIL,A7A,EFSW,BE,16,16,XS,B-36.10,ASTM A672 GR. B60 CL.12
EIL,A7A,EFSW,BE,18,24,STD,B-36.10,ASTM A672 GR. B60 CL.12
EIL,A9A,SEAMLESS,PE,0.5,0.75,S160,B-36.10,ASTM A106 GR.B
EIL,A9A,SEAMLESS,PE,1,1.5,XS,B-36.10,ASTM A106 GR.B
EIL,A9A,SEAMLESS,BE,2,2,XS,B-36.10,ASTM A106 GR.B
EIL,A9A,SEAMLESS,BE,3,14,STD,B-36.10,ASTM A106 GR.B
EIL,A9A,EFSW,BE,16,16,XS,B-36.10,ASTM A672 GR. B60 CL.12
EIL,A9A,EFSW,BE,18,26,STD,B-36.10,ASTM A672 GR. B60 CL.12
EIL,A9A,EFSW,BE,30,30,STD,B-36.10,ASTM A672 GR. B60 CL.12
EIL,A9A,EFSW,BE,32,36,XS,B-36.10,ASTM A672 GR. B60 CL.12
EIL,A11A,SEAMLESS,PE,0.5,0.75,S160,B-36.10,ASTM A106 GR.B
EIL,A11A,SEAMLESS,PE,1,1.5,XS,B-36.10,ASTM A106 GR.B
EIL,A11A,SEAMLESS,BE,2,2,XS,B-36.10,ASTM A106 GR.B
EIL,A11A,SEAMLESS,BE,3,14,STD,B-36.10,ASTM A106 GR.B
EIL,A11A,EFSW,BE,16,26,STD,B-36.10,ASTM A672 GR.B60 CL.12
EIL,A11A,EFSW,BE,30,30,STD,B-36.10,ASTM A672 GR.B60 CL.12
EIL,A11A,EFSW,BE,32,36,CALC,B-36.10,ASTM A672 GR.B60 CL.12
EIL,A13A,SEAMLESS,PE,0.5,1.5,XXS,B-36.10,ASTM A106 GR.B
